name,kv_anhhuong,time_start,lon,lat,level,disaster_level,type
Động đất tại Kon Tum,xã Đăk Tăng - huyện Kon Plong - tỉnh Kon Tum,2022-04-15T20:34:00,108.222,14.822,0,,Động đất
"Dông, lốc, mưa đá tại Nghệ An","Xã Na Ngoi, Tây Sơn - huyện Kỳ Sơn và các xã Châu Khê, Cam Lâm, Lạng Khê - huyện Con Cuông, huyện Tương Dương - tỉnh Nghệ An",2022-03-17T15:00:00,104.737947,19.021101,0,,"Dông lốc, sét, mưa đá"
Ngập lụt tại Tây Ninh,"Huyện Gò Dầu, Châu Thành - tỉnh Tây Ninh",2022-05-03T10:00:00,106.001104,11.320497,0,,Ngập lụt
Lốc tại Cà Mau,"Xã Khánh Lâm, Khánh Tiến - huyện U Minh - tỉnh Cà Mau",2022-05-22T17:00:00,104.868035,9.417334,0,,Lốc
Động đất tại Kon Tum,Xã Đắk Tăng - huyện Kon Plông - tỉnh Kon Tum,2022-06-24T21:10:00,108.272,14.854,0,0,Động đất
Động đất tại Kon Tum,Xã Măng Buk - huyện Kon Plông - tỉnh Kon Tum,2022-04-18T06:13:00,108.192,14.876,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-06-24T20:15:00,108.288,14.892,0,0,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-06-24T20:02:00,108.268,14.862,0,0,Động đất
Sét đánh tại Lâm Đồng,Xã Gung Ré - huyện Di Linh - tỉnh Lâm Đồng ,2022-04-26T14:40:00,108.071134,11.551824,0,,Sét
"Mưa đá, lốc tại Đắk Nông",Xã Quảng Sơn - huyện Đắk G’Long - tỉnh Đắk Nông,2022-03-19T17:00:00,107.875136,12.156484,0,,"Dông lốc, sét, mưa đá"
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-03-20T19:50:00,108.255,14.92,0,,Động đất
Lốc tại Cà Mau,"Ấp Cỏ Xước, xã Lợi An, huyện Trần Văn Thời, tỉnh Cà Mau",2022-05-27T06:00:00,105.046609,9.118151,0,,Lốc
"Mưa kèm dông, lốc tại Gia Lai",Thôn Bi Gia - xã Pờ Tó - huyện Ia Pa - tỉnh Gia Lai,2022-03-18T17:00:00,108.408673,13.623718,0,,Lốc
"Mưa lớn kèm dông, lốc xoáy tại Gia Lai","Xã Ia Piơr, Ia Lâu - huyện Chư Prông - tỉnh Gia Lai",2022-03-19T17:00:00,107.898182,13.428428,0,,Lốc
Mưa lớn kèm mưa đá tại Lâm Đồng,"phường 3, 4, 5, 6, 7, 8, 11 - thành phố Đà Lạt - tỉnh Lâm Đồng",2022-03-27T13:00:00,108.404222,11.947367,0,,Mưa đá
"Mưa to kèm dông, lốc tại An Giang","xã Tân Thạnh, Vĩnh Hòa, Phú Lộc - thị xã Tân Châu - tỉnh An Giang",2022-03-19T20:30:00,105.152416,10.898442,0,,Lốc
"Dông lốc, sét tại Sơn La","huyện Sốp Cộp, Sông Mã, Thuận Châu, tỉnh Sơn La",2022-03-14T15:00:00,103.50565379650253,21.292749073880152,0,,"Dông lốc, sét, mưa đá"
Động đất tại Kon Tum,Xã Ngọk Tem - huyện Kon Plông - tỉnh Kon Tum,2022-06-25T02:56:00,108.298,14.815,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-06-25T19:24:00,108.256,14.866,0,,Động đất
Sạt lở đất ven sông tại Cà Mau,Xã Hiệp Tùng - huyện Năm Căn - tỉnh Cà Mau,2022-04-25T06:20:00,105.119294,8.846343,0,,Sạt lở đất
"Mưa lũ, sạt lở đất tại Bắc Kạn","Các huyện Chợ Đồn (xã Tân Lập), Ba Bể, Ngân Sơn, Na Rì (xã Vũ Loan), Bạch Thông, Chợ Mới - tỉnh Bắc Kạn",2022-03-22T22:05:00,105.622837,22.287443,0,1,Lũ
Sạt lở đất tại Đồng Tháp,"Khóm Sở Thượng, phường An Lạc, Tp. Hồng Ngự, tỉnh Đồng Tháp",2022-03-18T17:30:00,105.337766,10.809128,0,,Sạt lở đất
"Dông, sét kèm gió lốc tại Quảng Ngãi",Xã Ba Tô - huyện Ba Tơ - tỉnh Quảng Ngãi,2022-04-26T16:30:00,108.6329,14.728407,0,,Sét
Sụt lún tại An Giang,Ấp Vạt Lài - xã Khánh Bình - huyện An Phú - tỉnh An Giang,2022-03-20T10:00:00,105.073478,10.936927,0,,Sụt lún đất
Sạt lở đất tại Lào Cai,"Huyện Văn Bàn, Thị xã Sa Pa - tỉnh Lào Cai",2022-02-19T22:00:00,104.082469,22.131514,0,1,Sạt lở đất
Mưa kèm theo gió lốc tại Bình Thuận,Thị trấn Đức Tài - huyện Đức Linh - tỉnh Bình Thuận,2022-03-18T15:00:00,107.501944,11.153408,0,,Lốc
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-03-24T07:28:00,108.229,14.851,0,,Động đất
Mưa lớn tại Yên Bái,"Xã Nậm Búng, Nậm Lành, Gia Hội, Sơn Lương - Huyện Văn Chấn - Tỉnh Yên Bái",2022-06-25T23:00:00,104.487834,21.681833,0,,Mưa lớn
Mưa dông tại Hòa Bình,Huyện Mai Sơn - tỉnh Hòa Bình,2022-03-22T10:00:00,105.073563,20.690727,0,,Mưa lớn
"Mưa dông, lốc tại Gia Lai",xã Lơ Pang - huyện Mang Yang - tỉnh Gia Lai,2022-03-27T13:00:00,108.265843,13.938293,0,,"Dông lốc, sét, mưa đá"
"Mưa lớn kèm dông, sét, lốc xoáy tại Lâm Đồng",Xã Lộc Thành - huyện Bảo Lâm - tỉnh Lâm Đồng,2022-04-28T15:00:00,107.836337,11.453625,0,,Lốc
Sét tại Bình Phước,"Xã Thống Nhất, huyện Bù Đăng, tỉnh Bình Phước",2022-04-28T14:30:00,107.2077,11.6497,0,,Sét
Lốc tại Tây Ninh,"Phường An Tịnh, Phường Lộc Hưng, xã An Chỉ - Tx Trảng Bàng; Phường Long Thành Bắc, phường Long Hoa, xã Trường Tây - Tx Hoà Thành, tỉnh Tây Ninh",2022-05-27T15:30:00,106.375888,11.087497,0,,Lốc
Động đất tại Cao Bằng,"TT. Hòa Thuận, huyện Phúc Hòa, tỉnh Cao Bằng",2022-03-22T18:11:00,106.569,22.511,0,0,Động đất
Sụt lún đất ven sông tại Cà Mau,"Ấp Hố Gùi, xã Tam Giang, huyện Năm Căn, tỉnh Cà Mau",2022-06-26T02:00:00,105.158958,8.793293,0,,Sụt lún đất
Sét tại Kon Tum,"Thôn Kạck Lớn 2, xã Đăk Sao",2022-03-20T21:00:00,107.84300840781322,14.920853001475091,0,,Sét
Mưa dông tại Cà Mau,Ấp 19 - xã Nguyễn Phích - huyện U Minh - tỉnh Cà Mau,2022-03-22T09:00:00,105.021801,9.360776,0,,Lốc
Mưa lớn tại Hà Nội,"khu vực nội thành, thành phố Hà Nội",2022-05-29T07:00:00,105.783664,21.031255,0,,Mưa lớn
Sạt lở đất tại Cà Mau,Ấp Lưu Hoa Thanh - xã Tân Thuận - huyện Đầm Dơi - tỉnh Cà Mau,2022-03-18T11:00:00,105.415602,9.030535,0,,Sạt lở đất
"Mưa lớn, ngập úng, lốc, sạt lở đất tại Cao Bằng","TP. Cao Bằng (Hưng Đạo, phường Đề Thám), huyện Thạch An (Canh Tân, Minh Khai, Quang Trọng) và huyện Nguyên Bình (Phan Thanh, Vũ Nông, Thành Công) - tỉnh Cao Bằng",2022-03-22T22:10:00,105.800057,22.599584,0,1,Mưa lớn
Mưa lớn tại Cà Mau,"Xã Tân Thuận, huyện Đầm Dơi, tỉnh Cà Mau",2022-03-21T09:00:00,105.3404043078239,9.015370579373338,0,,Mưa lớn
Lốc tại Cà Mau,"Thị trấn Cái Đôi Vàm, huyện Phú Tân, tỉnh Cà Mau",1899-12-24T15:00:00,104.819054,8.870442,0,,Lốc
Mưa lớn tại Tuyên Quang,"huyện Na Hang, huyện Lâm Bình - tỉnh Tuyên Quang",2022-06-28T23:00:00,105.424026,22.371489,0,,Mưa lớn
Sạt lở đê tại An Giang,Xã Đạo Hữu Cảnh - huyện Châu Phú - tỉnh An Giang,2022-04-15T10:00:00,105.150241,10.51589,0,,Sạt lở đất
Rét hại tại các tỉnh/tp khu vực Bắc Bộ và Bắc Trung Bộ,Các tỉnh/tp khu vực Bắc Bộ và Bắc Trung Bộ,2022-02-19T00:00:00,105.366973,23.266915,0,1,Rét hại
Sạt lở đê tại An Giang,Xã Thạnh Mỹ Tây - huyện Châu Phú - tỉnh An Giang,2022-04-15T09:00:00,105.152264,10.526086,0,,Sạt lở đất
Sương mù tại Sân bay Nội Bài,Sân bay Nội Bài - TP. Hà Nội,2022-03-04T09:00:00,105.804402,21.217752,0,1,Sương mù
Lốc xoáy tại Lai Châu,"xã Pa Vậy Sủ, Ka Lăng, Bum Tở, Mù Cả, Tà Tổng, huyện Mường Tè, tỉnh Lai Châu",2022-03-15T18:30:00,102.50264601709777,22.58737152909997,0,,Lốc
Động đất tại Kon Tum,xã Măng Buk - huyện Kon Plông - tỉnh Kon Tum,2022-06-29T16:34:00,108.201,14.854,0,,Động đất
"Mưa lớn, lũ, ngập úng, sạt lở đất tại Lào Cai","Huyện Si Ma Cai (Thị trấn Si Ma Cai, Bản Mế, Nàn Sán) và huyện Mường Khương (Bản Lầu, Bản Sen, Lùng Vai) - tỉnh Lào Cai",2022-03-22T22:00:00,104.085779,22.568685,0,1,Mưa lớn
Động đất tại Kon Tum,xã Đăk Năng - huyện Kon Plông - tỉnh Kon Tum,2022-06-29T09:48:00,108.166,14.98,0,,Động đất
"Mưa lớn kèm dông, lốc, sét tại An Giang","Xã Hiệp Xương, Phú Bình - huyện Phú Tân - tỉnh An Giang",2022-04-14T15:30:00,105.222063,10.609045,0,,"Dông lốc, sét, mưa đá"
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-04-16T06:21:00,108.23,14.856,0,,Động đất
"Mưa lớn, dông lốc, ngập úng, sạt lở đất tại Tuyên Quang","Huyện Chiêm Hoá (Hoà Phú, Yên Nguyên) và Yên Sơn (Kiến Thiết, Phúc Ninh, Lang Quán) - tỉnh Tuyên Quang",2022-03-22T22:00:00,105.314356,21.996497,0,1,Mưa lớn
"Mưa lớn kèm dông, sét tại Bình Dương","Thành phố Thuận An, Thủ Dầu Một - tỉnh Bình Dương",2022-04-15T17:00:00,106.736177,10.958171,0,,"Dông lốc, sét, mưa đá"
"Mưa dông kèm lốc, mưa đá tại Sơn La","Huyện Mai Sơn, Quỳnh Nhai, Yên Châu, Bắc Yên - tỉnh Sơn La",2022-03-06T18:00:00,104.128817,21.283779,0,,"Dông lốc, sét, mưa đá"
Lốc tại An Giang,"Xã Phú Hữu, Khánh An huyện An Phú; xã Tân Hoà, Tân Trung, TT Phú Mỹ, Hoà Lạc huyện Phú Tân; xã Vĩnh Xương TX Tân Châu; tỉnh An Giang",2022-03-27T15:30:00,105.16944,10.892951,0,,Lốc
