,name,time_start,lon,lat,level,type,province
64,"Mưa dông, lốc tại Gia Lai",2022-03-27,108.265843,13.938293,0,"Dông lốc, sét, mưa đá",Gia Lai
65,"Mưa lớn kèm dông, sét, lốc xoáy tại Lâm Đồng",2022-04-28,107.836337,11.453625,0,Lốc,Lam Đong
66,Sét tại Bình Phước,2022-04-28,107.2077,11.6497,0,Sét,Binh Phuoc
67,Lốc tại Tây Ninh,2022-05-27,106.375888,11.087497,0,Lốc,Tay Ninh
68,Động đất tại Cao Bằng,2022-03-22,106.569,22.511,0,Động đất,Cao Bang
69,Sụt lún đất ven sông tại Cà Mau,2022-06-26,105.158958,8.793293,0,Sụt lún đất,Ca Mau
71,Mưa dông tại Cà Mau,2022-03-22,105.021801,9.360776,0,Lốc,Ca Mau
72,Mưa lớn tại Hà Nội,2022-05-29,105.783664,21.031255,0,Mưa lớn,Ha Noi
73,Sạt lở đất tại Cà Mau,2022-03-18,105.415602,9.030535,0,Sạt lở đất,Ca Mau
74,"Mưa lớn, ngập úng, lốc, sạt lở đất tại Cao Bằng",2022-03-22,105.800057,22.599584,0,Mưa lớn,Cao Bang
75,Mưa lớn tại Cà Mau,2022-03-21,105.3404043078239,9.015370579373338,0,Mưa lớn,Ca Mau
76,Lốc tại Cà Mau,1899-12-24,104.819054,8.870442,0,Lốc,Ca Mau
77,Mưa lớn tại Tuyên Quang,2022-06-28,105.424026,22.371489,0,Mưa lớn,Tuyen Quang
78,Sạt lở đê tại An Giang,2022-04-15,105.150241,10.51589,0,Sạt lở đất,An Giang
80,Sạt lở đê tại An Giang,2022-04-15,105.152264,10.526086,0,Sạt lở đất,An Giang
81,Sương mù tại Sân bay Nội Bài,2022-03-04,105.804402,21.217752,0,Sương mù,Ha Noi
82,Lốc xoáy tại Lai Châu,2022-03-15,102.50264601709776,22.58737152909997,0,Lốc,Lai Chau
83,Động đất tại Kon Tum,2022-06-29,108.201,14.854,0,Động đất,Kon Tum
84,"Mưa lớn, lũ, ngập úng, sạt lở đất tại Lào Cai",2022-03-22,104.085779,22.568685,0,Mưa lớn,Lao Cai
85,Động đất tại Kon Tum,2022-06-29,108.166,14.98,0,Động đất,Kon Tum
86,"Mưa lớn kèm dông, lốc, sét tại An Giang",2022-04-14,105.222063,10.609045,0,"Dông lốc, sét, mưa đá",An Giang
87,Động đất tại Kon Tum,2022-04-16,108.23,14.856,0,Động đất,Kon Tum
88,"Mưa lớn, dông lốc, ngập úng, sạt lở đất tại Tuyên Quang",2022-03-22,105.314356,21.996497,0,Mưa lớn,Tuyen Quang
89,"Mưa lớn kèm dông, sét tại Bình Dương",2022-04-15,106.736177,10.958171,0,"Dông lốc, sét, mưa đá",Binh Duong
90,"Mưa dông kèm lốc, mưa đá tại Sơn La",2022-03-06,104.128817,21.283779,0,"Dông lốc, sét, mưa đá",Son La
91,Lốc tại An Giang,2022-03-27,105.16944,10.892951,0,Lốc,An Giang
92,Mưa lớn tại Điện Biên,2022-06-30,103.041231,21.399744,0,Mưa lớn,Đien Bien
93,Lốc tại Cà Mau,2022-02-05,104.822684,8.778701,0,Lốc,Ca Mau
94,Sét tại Bình Thuận,2022-03-27,107.526337,11.248102,0,Sét,Binh Thuan
